title : 오늘은 뭘 먹을까요
subtitle : .
user email : bdh1011@korea.ac.kr
create time : 2015-09-25 09:11:21
survey link : ques.co.kr/survey/0c83959b77fefa5dd58361a48570361b

question title : 치킨 종류
question subtitle : ?
question type : choice
치킨버스,2015-09-25 09:11:28
BBQ,2015-09-25 09:12:32
오빠닭,2015-09-25 09:55:24
치킨버스,2015-09-25 09:56:51
오빠닭,2015-09-25 09:58:52
오빠닭,2015-09-25 09:59:10
치킨버스,2015-09-25 09:59:26
오빠닭,2015-09-25 10:30:19
오빠닭,2015-09-27 10:30:49
치킨버스,2015-09-29 15:19:57
치킨버스,2015-09-29 15:31:40
치킨버스,2015-09-29 15:40:12
치킨버스,2015-09-29 15:40:19
치킨버스,2015-09-29 15:40:30
치킨버스,2015-09-29 15:41:14
BBQ,2015-09-29 22:45:10

